content	x	y	w	h
a	490	1498	9	19
i	503	1498	7	19
r	511	1498	4	19
o	526	1498	9	19
f	538	1498	9	19
t	556	1498	6	19
h	563	1498	7	19
i	575	1498	7	19
s	584	1498	6	19
t	604	1498	6	19
u	611	1498	7	19
n	622	1498	10	19
e	635	1498	11	19
i	657	1498	4	19
s	663	1498	4	19
o	678	1498	9	19
n	690	1498	10	19
e	703	1498	11	19
o	722	1499	9	19
f	734	1499	9	19
t	752	1499	6	19
h	759	1499	8	19
e	771	1499	11	19
o	793	1499	7	19
l	803	1499	7	19
d	812	1499	6	19
n	829	1499	11	19
a	844	1499	9	19
t	855	1499	7	19
i	864	1499	5	19
o	869	1499	7	19
n	880	1499	10	19
a	894	1499	10	19
l	906	1499	9	19
m	917	1499	15	19
e	939	1499	12	19
l	953	1499	7	19
o	959	1499	7	19
d	972	1499	9	19
i	983	1499	7	19
e	991	1499	7	19
s	1002	1499	9	19
o	1021	1499	7	19
f	1031	1499	7	19
A	1049	1499	11	19
m	1062	1499	14	19
e	1085	1499	12	19
r	1097	1499	7	19
i	1107	1499	7	19
c	1115	1499	7	19
a	1126	1499	9	19
,	1138	1499	5	19
a	1153	1499	7	19
n	1162	1499	10	19
d	1177	1499	12	19
i	1197	1499	4	19
n	1203	1499	4	19
i	1222	1499	6	19
t	1230	1499	6	19
s	1238	1499	6	19
S	1255	1499	11	19
e	1270	1499	10	19
c	1282	1500	9	19
u	1294	1500	9	19
l	1307	1500	7	19
o	1315	1500	7	19
r	1325	1500	7	19
f	1343	1500	7	19
o	1353	1500	7	19
r	1363	1500	7	19
m	1373	1500	7	19
i	1402	1500	6	19
t	1410	1500	6	19
w	1422	1500	14	19
a	1441	1500	11	19
s	1453	1500	7	19
c	1474	1500	9	19
a	1487	1500	8	19
l	1497	1500	7	19
l	1506	1500	6	19
e	1513	1500	7	19
d	1523	1500	7	19
'	1542	1500	5	19
O	1557	1500	11	19
l	1573	1500	8	19
d	1582	1500	6	19
R	1598	1500	14	19
o	1617	1500	11	19
s	1630	1500	9	19
e	1643	1500	8	19
n	1653	1500	7	19
t	1677	1500	4	19
h	1681	1500	8	19
e	1695	1500	12	19
B	1715	1500	12	19
o	1731	1500	11	19
w	1744	1500	9	19
.	1760	1500	5	19
I	1807	1500	7	19
t	1817	1500	7	19
t	1834	1501	6	19
o	1841	1501	7	19
o	1852	1501	9	19
k	1864	1501	9	19
i	1886	1501	6	19
t	1894	1501	6	19
s	1902	1501	6	19
p	1919	1501	7	19
r	1929	1501	8	19
e	1941	1501	8	19
s	1951	1501	7	19
e	1961	1501	8	19
n	1972	1501	9	19
t	1984	1501	9	19
n	2004	1501	9	19
a	2016	1501	9	19
m	2027	1501	11	19
e	2044	1501	14	19
,	2058	1501	5	19
y	397	1522	11	19
e	412	1522	9	19
r	423	1522	7	19
s	433	1522	7	19
E	455	1522	11	19
x	470	1522	10	19
i	483	1522	7	19
t	492	1522	6	19
,	498	1522	5	19
f	537	1522	4	19
r	542	1522	6	19
o	550	1522	9	19
m	563	1522	11	19
R	594	1522	14	19
e	613	1522	11	19
y	626	1522	9	19
.	640	1522	5	19
S	662	1522	5	19
.	674	1522	5	19
B	698	1523	5	19
.	712	1523	5	19
S	730	1523	9	19
a	742	1523	9	19
w	753	1523	11	19
y	771	1523	12	19
e	787	1523	8	19
r	796	1523	6	19
.	806	1523	5	19
T	838	1523	9	19
h	849	1523	11	19
e	865	1523	12	19
w	883	1523	12	19
o	899	1523	11	19
r	913	1523	8	19
d	923	1523	8	19
s	934	1523	9	19
o	953	1523	7	19
f	963	1523	7	19
t	980	1523	6	19
h	987	1523	8	19
e	999	1523	11	19
t	1022	1523	6	19
u	1029	1523	7	19
n	1039	1523	11	19
e	1055	1523	12	19
w	1072	1523	14	19
e	1091	1523	11	19
r	1103	1523	8	19
e	1114	1523	9	19
c	1132	1523	9	19
o	1144	1523	9	19
m	1155	1523	12	19
p	1174	1523	13	19
o	1190	1523	10	19
s	1203	1523	8	19
e	1213	1523	8	19
d	1224	1523	9	19
b	1241	1523	11	19
y	1255	1524	11	19
h	1276	1524	9	19
i	1289	1524	7	19
m	1298	1524	6	19
o	1327	1524	7	19
n	1337	1524	7	19
t	1360	1524	6	19
h	1366	1524	9	19
e	1381	1524	12	19
d	1400	1524	9	19
a	1412	1524	9	19
y	1424	1524	9	19
o	1447	1524	7	19
f	1457	1524	7	19
h	1472	1524	9	19
i	1485	1524	7	19
s	1494	1524	6	19
d	1509	1524	11	19
e	1524	1524	9	19
a	1535	1524	8	19
t	1547	1524	7	19
h	1556	1524	6	19
,	1568	1524	5	19
w	1581	1524	12	19
i	1598	1524	9	19
t	1608	1524	6	19
h	1616	1524	6	19
a	1638	1524	5	19
r	1655	1524	7	19
e	1665	1524	8	19
q	1676	1524	9	19
u	1688	1524	10	19
e	1702	1524	9	19
s	1713	1524	7	19
t	1723	1524	7	19
t	1740	1524	6	19
h	1747	1524	8	19
a	1760	1524	10	19
t	1772	1524	9	19
t	1787	1524	7	19
h	1796	1524	9	19
e	1810	1524	9	19
y	1821	1524	7	19
b	1839	1525	11	19
e	1853	1525	11	19
a	1874	1525	9	19
p	1886	1525	9	19
p	1898	1525	9	19
l	1911	1525	7	19
i	1918	1525	5	19
e	1925	1525	7	19
d	1936	1525	9	19
t	1958	1525	6	19
o	1966	1525	6	19
t	1984	1525	6	19
i	1991	1525	8	19
e	2003	1525	11	19
m	2020	1525	14	19
e	2039	1525	11	19
t	2052	1525	6	19
o	2057	1525	7	19
d	2069	1525	8	19
y	2079	1525	7	19
a	2098	1525	5	19
p	400	1547	9	20
u	412	1547	9	20
b	423	1547	9	20
l	436	1547	7	20
i	443	1547	6	20
s	451	1547	6	20
h	458	1547	9	20
e	473	1547	9	20
d	484	1547	8	20
,	496	1547	5	20
a	510	1547	7	20
n	519	1547	9	20
d	533	1547	11	20
o	550	1547	7	20
n	560	1547	7	20
c	582	1547	8	20
o	593	1547	8	20
m	601	1547	12	20
p	622	1547	13	20
l	637	1547	8	20
e	646	1547	6	20
t	655	1547	6	20
i	664	1547	5	20
n	668	1547	8	20
g	682	1547	11	20
t	703	1547	6	20
h	710	1547	9	20
e	724	1547	11	20
w	742	1547	13	20
o	760	1547	11	20
r	773	1547	9	20
d	784	1547	9	20
s	796	1547	9	20
h	810	1547	10	20
i	824	1547	8	20
s	833	1547	6	20
s	852	1547	6	20
p	859	1547	8	20
i	873	1547	7	20
r	880	1547	5	20
i	888	1547	6	20
t	896	1547	6	20
t	909	1547	6	20
o	916	1547	8	20
o	929	1547	9	20
k	940	1547	7	20
i	962	1547	4	20
t	968	1547	6	20
s	976	1547	6	20
e	995	1547	7	20
t	1005	1547	7	20
e	1014	1547	7	20
r	1024	1547	7	20
n	1032	1547	9	20
a	1045	1547	10	20
l	1058	1547	10	20
f	1071	1547	5	20
l	1078	1547	5	20
i	1083	1547	6	20
g	1093	1547	8	20
h	1103	1547	9	20
t	1117	1547	11	20
i	1138	1547	6	20
n	1145	1547	8	20
t	1158	1547	8	20
o	1167	1547	6	20
i	1184	1547	6	20
t	1192	1547	6	20
s	1201	1547	7	20
n	1213	1547	11	20
e	1229	1547	9	20
w	1240	1547	8	20
l	1265	1547	4	20
i	1271	1547	5	20
f	1278	1547	6	20
e	1287	1547	7	20
.	1298	1547	5	20
P	1329	1547	11	20
r	1344	1547	9	20
o	1354	1547	7	20
f	1365	1547	10	20
.	1374	1547	5	20
M	1385	1547	16	20
a	1408	1547	12	20
s	1420	1547	8	20
s	1431	1547	8	20
e	1441	1547	8	20
n	1452	1547	8	20
g	1465	1547	10	20
a	1479	1547	9	20
l	1490	1547	7	20
e	1499	1547	7	20
a	1513	1547	9	20
p	1525	1547	9	20
p	1538	1547	9	20
l	1549	1547	6	20
i	1556	1547	6	20
e	1565	1547	8	20
d	1576	1547	8	20
t	1593	1547	7	20
h	1601	1547	8	20
e	1613	1547	9	20
w	1628	1547	13	20
o	1646	1547	11	20
r	1660	1547	9	20
d	1670	1547	8	20
s	1681	1547	8	20
t	1698	1547	7	20
o	1707	1547	7	20
t	1725	1547	4	20
h	1729	1547	9	20
e	1744	1547	13	20
t	1761	1547	7	20
u	1769	1547	8	20
n	1780	1547	10	20
e	1795	1547	11	20
.	1806	1547	5	20
T	1840	1547	8	20
h	1851	1547	9	20
e	1865	1547	9	20
s	1876	1547	9	20
e	1888	1547	9	20
w	1904	1547	11	20
o	1919	1547	10	20
r	1932	1547	9	20
d	1943	1547	9	20
s	1955	1547	10	20
c	1970	1547	8	20
o	1981	1547	9	20
m	1991	1547	13	20
p	2012	1547	12	20
o	2025	1547	9	20
s	2038	1547	8	20
e	2047	1547	7	20
d	2057	1547	7	20
b	2070	1547	7	20
y	2080	1547	10	20
t	2096	1547	4	20
h	2102	1547	6	20
i	2111	1547	5	20
s	2117	1547	4	20
c	399	1565	9	22
h	411	1565	10	22
r	425	1565	9	22
i	436	1565	6	22
s	443	1565	6	22
t	452	1565	6	22
i	459	1566	6	22
a	467	1566	7	22
n	476	1566	7	22
m	497	1566	16	22
a	520	1566	12	22
n	533	1566	9	22
,	546	1566	5	22
s	568	1566	7	22
h	577	1566	9	22
o	590	1567	9	22
w	601	1567	11	22
s	617	1567	12	22
t	642	1567	7	22
h	650	1567	9	22
e	663	1567	11	22
g	690	1567	7	22
l	699	1567	7	22
o	708	1567	8	22
r	718	1568	7	22
i	728	1568	6	22
o	734	1568	7	22
u	746	1568	10	22
s	759	1568	8	22
a	782	1568	8	22
n	792	1568	10	22
d	806	1568	11	22
t	832	1568	5	22
r	838	1568	5	22
i	846	1568	8	22
u	856	1569	7	22
m	865	1569	12	22
p	886	1569	12	22
h	898	1569	10	22
a	912	1569	9	22
n	924	1569	9	22
t	937	1569	11	22
d	957	1569	11	22
e	972	1569	9	22
a	982	1570	8	22
t	994	1570	8	22
h	1003	1570	7	22
o	1026	1570	11	22
f	1040	1570	11	22
t	1059	1570	5	22
h	1064	1570	9	22
e	1079	1570	12	22
r	1097	1570	7	22
i	1106	1570	8	22
g	1116	1571	7	22
h	1126	1571	9	22
t	1140	1571	9	22
e	1150	1571	8	22
o	1161	1571	9	22
u	1172	1571	9	22
s	1185	1571	11	22
.	1195	1571	5	22
S	1226	1571	12	22
e	1243	1572	11	22
e	1256	1572	8	22
n	1272	1572	11	22
u	1287	1572	10	22
m	1297	1572	13	22
e	1321	1572	12	22
r	1332	1572	7	22
o	1340	1572	9	22
u	1354	1572	9	22
s	1366	1572	8	22
s	1387	1573	7	22
k	1395	1573	9	22
e	1409	1573	9	22
t	1419	1573	7	22
c	1428	1573	8	22
h	1439	1573	9	22
e	1453	1573	9	22
s	1465	1573	8	22
o	1480	1573	9	22
f	1492	1573	9	22
J	1513	1574	9	22
o	1525	1574	8	22
h	1535	1574	10	22
n	1549	1574	10	22
M	1569	1574	15	22
a	1590	1574	12	22
s	1605	1574	9	22
s	1615	1574	7	22
a	1625	1574	9	22
g	1637	1575	9	22
a	1651	1575	9	22
l	1661	1575	7	22
e	1670	1575	7	22
i	1687	1575	5	22
n	1694	1575	5	22
f	399	1590	7	21
u	408	1590	7	21
r	419	1590	8	21
t	431	1590	6	21
h	436	1590	8	21
e	451	1590	9	21
r	461	1591	7	21
d	478	1591	8	21
a	488	1591	9	21
t	502	1591	8	21
a	511	1591	7	21
a	531	1591	8	21
b	542	1591	8	21
o	552	1591	9	21
u	565	1591	10	21
t	578	1592	10	21
M	591	1592	15	21
r	610	1592	16	21
.	624	1592	5	21
S	640	1592	10	21
a	653	1592	10	21
w	665	1592	12	21
y	683	1592	12	21
e	698	1592	8	21
r	707	1593	7	21
t	725	1593	7	21
h	733	1593	8	21
a	745	1593	10	21
n	757	1593	8	21
t	781	1593	5	21
h	786	1593	8	21
e	799	1593	12	21
a	821	1593	8	21
b	831	1594	9	21
o	844	1594	10	21
v	855	1594	10	21
e	869	1594	10	21
.	882	1594	5	21
B	2161	1599	6	23
u	2173	1600	4	23
t	2181	1601	2	22
l	2192	1602	1	22
i	2197	1603	1	22
t	2203	1604	0	22
t	2206	1605	0	22
l	2211	1605	0	22
e	2215	1606	1	22
c	2145	1619	0	21
h	2149	1620	1	21
e	2155	1621	2	22
e	2162	1622	1	21
M	2171	1624	3	22
u	2181	1625	3	22
s	2191	1627	2	22
i	2196	1628	1	21
c	2202	1629	2	22
a	2209	1630	2	22
l	2216	1631	1	21
d	2144	1645	3	23
e	2150	1645	4	23
e	2159	1646	2	23
n	2163	1647	2	23
a	2174	1648	4	23
b	2182	1649	3	23
l	2189	1649	3	23
e	2196	1650	3	23
t	2207	1651	1	23
o	2211	1652	2	23
